State,Region
Alaska,West
Arizona,West
California,West
Colorado,West
Hawaii,West
Idaho,West
Montana,West
Nevada,West
New Mexico,West
Oregon,West
Utah,West
Washington,West
Wyoming,West
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Midwest
Michigan,Midwest
Missouri,Midwest
Minnesota,Midwest
Nebraska,Midwest
North Dakota,Midwest
Ohio,Midwest
South Dakota,Midwest
Wisconsin,Midwest
Alabama,South
Arkansas,South
Delaware,South
Florida,South
Georgia,South
Kentucky,South
Louisiana,South
Maryland,South
Mississippi,South
Oklahoma,South
North Carolina,South
South Carolina,South
Tennessee,South
Texas,South
Virginia,South
West Virginia,South
Connecticut,Northeast
Maine,Northeast
New Hampshire,Northeast
Massachusetts,Northeast
New Jersey,Northeast
New York,Northeast
Pennsylvania,Northeast
Rhode Island,Northeast
Vermont,Northeast